geographic_school_district,children_5_17,poverty,linguistically_isolated,children_disability,vulnerable_job,single_parent,crowded_conditions,no_computer_internet
Alamogordo Public Schools,7145,0.2351294611616515,0.00615815255423373,0.03582925122463261,0.2867739678096571,0.29965010496850947,0.012736179146256124,0.12372288313505948
Albuquerque Public Schools,112099,0.17783387898197128,0.03025896751978162,0.0379753610647731,0.25679087235390147,0.34118948429513196,0.0231224185764369,0.13282901720800364
Animas Public Schools,149,0.3825503355704698,0.11409395973154363,0.0738255033557047,0.1476510067114094,0,0.08053691275167785,0.20134228187919462
Artesia Public Schools,4405,0.16322360953461976,0.004086265607264473,0.039954597048808174,0.24540295119182748,0.36572077185017027,0.055391600454029515,0.12622020431328038
Aztec Municipal Schools,3205,0.12854914196567863,0.005616224648985959,0.033073322932917315,0.2839313572542902,0.387207488299532,0.03182527301092044,0.1297971918876755
Belen Consolidated Schools,5296,0.1593655589123867,0.0111404833836858,0.09082326283987915,0.20732628398791542,0.2783232628398791,0.02001510574018127,0.2330060422960725
Bernalillo Public Schools,3942,0.11161846778285134,0.031709791983764585,0.0243531202435312,0.21714865550481988,0.3176052765093861,0.03526128868594622,0.26230339928970065
Bloomfield Municipal Schools,3516,0.17292377701934017,0.05147895335608646,0.0270193401592719,0.2175767918088737,0.282707622298066,0.0474971558589306,0.20079635949943117
Capitan Municipal Schools,434,0.21658986175115208,0,0,0.29723502304147464,0.2764976958525346,0,0.20967741935483872
Carlsbad Municipal Schools,6348,0.1786389413988658,0.008506616257088847,0.024259609325771897,0.3052930056710775,0.36940768746061753,0.041272841839949594,0.07262129804662885
Carrizozo Municipal Schools,207,0.2753623188405797,0,0.024154589371980676,0.18357487922705315,0.4396135265700483,0,0.07729468599033816
Central Consolidated Schools,6662,0.1604623236265386,0.003002101471029721,0.009756829780846592,0.12984088862203544,0.3408886220354248,0.05839087361152807,0.29765836085259684
Chama Valley Independent Schools,339,0.35988200589970504,0,0,0,0,0,0.640117994100295
Cimarron Public Schools,435,0.1793103448275862,0.12643678160919541,0.04367816091954023,0.23908045977011494,0.22758620689655173,0.009195402298850575,0.17471264367816092
Clayton Public Schools,445,0.1797752808988764,0.011235955056179775,0.038202247191011236,0.14606741573033707,0.35730337078651686,0,0.26741573033707866
Cloudcroft Municipal Schools,318,0.27672955974842767,0,0.031446540880503145,0.24213836477987422,0.4056603773584906,0.009433962264150943,0.03459119496855346
Clovis Municipal Schools,8529,0.19064368624692227,0.05053347402978075,0.024973619416109743,0.23402509086645562,0.32606401688357367,0.026028842771720014,0.1477312697854379
Cobre Consolidated Schools,1214,0.22322899505766064,0,0.06836902800658978,0.21499176276771004,0.23887973640856672,0.01729818780889621,0.2372322899505766
Corona Municipal Schools,34,0.29411764705882354,0,0,0.35294117647058826,0.35294117647058826,0,0
Cuba Independent Schools,1046,0.21319311663479923,0.08126195028680688,0.0028680688336520078,0.12045889101338432,0.2304015296367113,0.05736137667304015,0.2944550669216061
Deming Public Schools,4585,0.274154852780807,0.03904034896401309,0.03707742639040349,0.17557251908396945,0.2859323882224646,0.013304252998909487,0.17491821155943293
Des Moines Municipal Schools,93,0.22580645161290322,0,0,0.03225806451612903,0.45161290322580644,0,0.2903225806451613
Dexter Consolidated Schools,767,0.16036505867014342,0.048239895697522815,0.07431551499348109,0.24511082138200782,0.24119947848761408,0.0469361147327249,0.18383311603650587
Dora Consolidated Schools,117,0.28205128205128205,0.17094017094017094,0.017094017094017096,0.1452991452991453,0.02564102564102564,0.008547008547008548,0.3504273504273504
Dulce Independent Schools,951,0.17034700315457413,0,0.011566771819137749,0.14616193480546794,0.3943217665615142,0.05573080967402734,0.22187171398527866
Elida Municipal Schools,109,0.24770642201834864,0,0.14678899082568808,0.23853211009174313,0.1651376146788991,0.045871559633027525,0.1559633027522936
Española Municipal Schools,5860,0.35665529010238906,0.02235494880546075,0.03703071672354949,0,0,0.03310580204778157,0.5508532423208191
Estancia Municipal Schools,686,0.22011661807580174,0,0.08454810495626822,0.11661807580174927,0.35131195335276966,0.048104956268221574,0.1793002915451895
Eunice Municipal Schools,959,0.13764337851929093,0,0.03962460896767466,0.2773722627737226,0.3222106360792492,0.04692387904066736,0.1762252346193952
Farmington Municipal Schools,12191,0.14510704618160938,0.01730785005331802,0.04495119350340415,0.2405873185136576,0.3051431383807727,0.03732261504388483,0.20958083832335328
Floyd Municipal Schools,166,0.1927710843373494,0,0,0.10843373493975904,0.1686746987951807,0.0783132530120482,0.45180722891566266
Fort Sumner Municipal Schools,443,0.309255079006772,0,0.07223476297968397,0.12189616252821671,0.2686230248306998,0.009029345372460496,0.21896162528216703
Gadsden Independent Schools,14881,0.21718970499294402,0.08473892883542773,0.030911901081916538,0.17223304885424368,0.24299442241784827,0.04549425441838586,0.20643773939923393
Gallup-McKinley County Schools,13388,0.22131759784881982,0.004855094114132059,0.030101583507618764,0.13459814759486108,0.278383627128772,0.06939049895428742,0.2613534508515088
Grady Municipal Schools,90,0.18888888888888888,0,0.12222222222222222,0.1,0.3111111111111111,0.011111111111111112,0.26666666666666666
Grants-Cibola County Schools,4584,0.16710296684118672,0.0137434554973822,0.07220767888307156,0.1769197207678883,0.3012652705061082,0.05257417102966841,0.21618673647469458
Hagerman Municipal Schools,481,0.18295218295218296,0,0.06444906444906445,0.2515592515592516,0.3180873180873181,0.07276507276507277,0.1101871101871102
Hatch Valley Municipal Schools,1159,0.18895599654874892,0.1458153580672994,0.005176876617773943,0.16824849007765316,0.19499568593615185,0.0362381363244176,0.26056945642795515
Hobbs Municipal Schools,10838,0.15860859937257796,0.040321092452482006,0.0412437719136372,0.288983207233807,0.2925816571323122,0.04807159992618564,0.13019007196899798
Hondo Valley Public Schools,262,0.1717557251908397,0,0.21755725190839695,0.38549618320610685,0.06870229007633588,0.019083969465648856,0.13740458015267176
House Municipal Schools,30,0.7,0,0.03333333333333333,0.26666666666666666,0,0,0
Jal Public Schools,339,0.15634218289085547,0.10324483775811209,0,0.1710914454277286,0.3805309734513274,0.04424778761061947,0.14454277286135694
Jemez Mountain Public Schools,196,0.3112244897959184,0.09693877551020408,0,0,0,0.00510204081632653,0.5867346938775511
Jemez Valley Public Schools,1000,0.076,0.065,0.025,0.159,0.344,0.059,0.272
Lake Arthur Municipal Schools,151,0.26490066225165565,0,0.006622516556291391,0.24503311258278146,0.32450331125827814,0.052980132450331126,0.10596026490066225
Las Cruces Public Schools,25537,0.219681246818342,0.02122410619884873,0.04691232329561029,0.2272389082507734,0.31064729608019737,0.023886909190586208,0.15040921016564202
Las Vegas City Public Schools,2124,0.2123352165725047,0.0480225988700565,0.0635593220338983,0.1765536723163842,0.3342749529190207,0.012711864406779662,0.15254237288135594
Logan Municipal Schools,130,0.23846153846153847,0.06153846153846154,0,0.3384615384615385,0.18461538461538463,0,0.17692307692307693
Lordsburg Municipal Schools,596,0.313758389261745,0,0.04194630872483222,0.29194630872483224,0.27181208053691275,0.010067114093959731,0.07046979865771812
Los Alamos Public Schools,3215,0.06687402799377916,0.02270606531881804,0.049766718506998445,0.3564541213063764,0.40746500777604977,0.02021772939346812,0.07651632970451011
Los Lunas Public Schools,9279,0.17394115745231167,0.04494018752020692,0.05410065739842655,0.24129755361569136,0.27201207026619245,0.026403707296044833,0.1873046664511262
Loving Municipal Schools,276,0.09420289855072464,0,0.08333333333333333,0.30434782608695654,0.37318840579710144,0.057971014492753624,0.08695652173913043
Lovington Public Schools,3270,0.12477064220183487,0.05474006116207951,0.04159021406727829,0.24617737003058104,0.26483180428134556,0.054434250764525995,0.21345565749235473
Magdalena Municipal Schools,258,0.25968992248062017,0.031007751937984496,0,0.1434108527131783,0.16666666666666666,0.027131782945736434,0.37209302325581395
Maxwell Municipal Schools,132,0.22727272727272727,0,0.030303030303030304,0.26515151515151514,0.2196969696969697,0.06060606060606061,0.19696969696969696
Melrose Public Schools,160,0.1125,0,0.10625,0.21875,0.1375,0,0.425
Mesa Vista Consolidated Schools,310,0.2709677419354839,0,0,0,0,0.025806451612903226,0.7032258064516129
Mora Independent Schools,506,0.17391304347826086,0,0,0.27865612648221344,0.30434782608695654,0.03359683794466403,0.20948616600790515
Moriarty Municipal Schools,3979,0.206333249560191,0.011058054787635083,0.0658456898718271,0.2862528273435537,0.28147775823071125,0.024629303845187234,0.1244031163608947
Mosquero Municipal Schools,36,0.4444444444444444,0,0,0.3333333333333333,0.1388888888888889,0.08333333333333333,0
Mountainair Public Schools,230,0.24347826086956523,0,0.05217391304347826,0.23043478260869565,0.4043478260869565,0,0.06956521739130435
Peñasco Independent Schools,339,0.4808259587020649,0.038348082595870206,0.058997050147492625,0,0,0.014749262536873156,0.40707964601769914
Pecos Independent Schools,896,0.14508928571428573,0,0.020089285714285716,0.140625,0.40848214285714285,0.0011160714285714285,0.2845982142857143
Pojoaque Valley Public Schools,1847,0.0969139144558744,0.023822414726583648,0.017866811044937737,0.22306442880346508,0.312939902544667,0.029236599891716297,0.2961559285327558
Portales Municipal Schools,2793,0.20873612602935912,0.047619047619047616,0.0744718940207662,0.21553884711779447,0.26494808449695667,0.02506265664160401,0.1636233440744719
Quemado Independent Schools,187,0.1657754010695187,0,0.09090909090909091,0.19786096256684493,0.44919786096256686,0,0.0962566844919786
Questa Independent Schools,470,0.24680851063829787,0,0,0.33191489361702126,0.2297872340425532,0.023404255319148935,0.16808510638297872
Raton Public Schools,1014,0.1804733727810651,0.015779092702169626,0.022682445759368838,0.22879684418145957,0.34911242603550297,0.026627218934911243,0.1765285996055227
Reserve Independent Schools,226,0.19911504424778761,0,0,0.252212389380531,0.11946902654867257,0,0.42920353982300885
